"","Country","Year","TEA","EEA","HDI","NES_A01","NES_A02","NES_A03","NES_A04","NES_A05","NES_A06","NES_B01","NES_B02","NES_B03","NES_B04","NES_B05","NES_B06","NES_B07","NES_C01","NES_C02","NES_C03","NES_C04","NES_C05","NES_C06","NES_D01","NES_D02","NES_D03","NES_D04","NES_D05","NES_D06","NES_E01","NES_E02","NES_E03","NES_E04","NES_E05","NES_E06","NES_F01","NES_F02","NES_F03","NES_F04","NES_F05","NES_G01","NES_G02","NES_G03","NES_G04","NES_G05","NES_G06","NES_H01","NES_H02","NES_H03","NES_H04","NES_H05","NES_I01","NES_I02","NES_I03","NES_I04","NES_I05","GCI_1.01","GCI_1.02","GCI_1.03","GCI_1.04","GCI_1.05","GCI_1.06","GCI_1.07","GCI_1.08","GCI_1.09","GCI_1.10","GCI_1.11","GCI_1.12","GCI_1.13","GCI_1.14","GCI_1.15","GCI_1.16","GCI_1.17","GCI_1.18","GCI_1.19","GCI_1.20","GCI_1.21","GCI_2.01","GCI_2.02","GCI_2.03","GCI_2.04","GCI_2.05","GCI_2.06","GCI_2.07","GCI_2.08","GCI_2.09","GCI_3.01","GCI_3.02","GCI_3.03","GCI_3.04","GCI_4.03","GCI_4.04","GCI_4.05","GCI_4.06","GCI_4.07","GCI_4.08","GCI_4.09","GCI_5.01","GCI_5.02","GCI_5.03","GCI_5.04","GCI_5.05","GCI_5.06","GCI_5.07","GCI_5.08","GCI_6.01","GCI_6.02","GCI_6.03","GCI_6.05","GCI_6.06","GCI_6.07","GCI_6.08","GCI_6.09","GCI_6.10","GCI_6.11","GCI_6.12","GCI_6.13","GCI_6.14","GCI_6.15","GCI_6.16","GCI_7.01","GCI_7.02","GCI_7.03","GCI_7.04","GCI_7.06","GCI_7.07","GCI_7.10","GCI_8.03","GCI_8.04","GCI_8.05","GCI_8.06","GCI_8.07","GCI_8.08","GCI_9.01","GCI_9.02","GCI_9.03","GCI_9.04","GCI_9.05","GCI_9.06","GCI_10.01","GCI_10.02","GCI_10.03","GCI_10.04","GCI_11.01","GCI_11.02","GCI_11.03","GCI_11.04","GCI_11.05","GCI_11.06","GCI_11.07","GCI_11.08","GCI_11.09","GCI_12.01","GCI_12.02","GCI_12.03","GCI_12.04","GCI_12.05","GCI_12.06"
"1","Algeria","2011",9.2621225621066,0.821174816523923,0.738,3.4,3.33,2.74,2.61,3.28,2.09,3.23,3.58,3.08,2.17,3.03,2.91,2.47,2.78,2.94,4.03,2.71,2.97,3,2.31,2.39,1.97,2.31,2.74,2.94,2.79,2.45,3.09,2.91,2.68,2.63,3.11,2.68,3.21,3.4,3.11,3.29,3.39,2.61,2.6,2.52,2.4,3.03,3.44,3.19,3.26,2.86,3.19,2.94,2.88,2.75,2.83,3.08198243478261,2.2158053826087,2.770127,1.98717123478261,3.06178850782609,2.52165855652174,2.59109815652174,3.00878913043478,2.26196482608696,2.97330263478261,2.95714192173913,3.14465659130435,3.87834057391304,3.96222289565217,4.47486127826087,3.73795419130435,3.25434856521739,3.50535831304348,3.76588108695652,3.66785054782609,5.3,3.67095854782609,3.76313988695652,2.59111648695652,3.03165632173913,3.7862617826087,150.982785607104,4.59393200869565,92.4212607527282,8.24042477702849,-2.712,53.432,4.3,10.3,59,4.56418416521739,0.1,4.8994855826087,29,72.622756097561,3.01356980869565,83.22054,30.61714,2.7596294173913,3.44686244347826,3.68030765217391,2.63064086956522,3.0016514,3.1460921826087,3.87891494782609,3.30364095652174,3.2880313826087,72,14,24,3.56383002608696,3.83635662608696,13.8110075486296,3.74064168695652,3.37968025217391,2.7516829826087,36.1304494036333,3.6528768,2.68948406086957,3.5621802173913,3.94433668695652,3.84231011304348,17,2.79927939130435,2.77991013043478,0.468444067287166,2.12838356521739,2.42708405217391,2.12368526956522,3.59017566086957,2.42259557391304,3,4.02877267826087,3.67504644347826,3.8265597826087,12.5,2.53748370935459,0.577710429579698,4.18612279850839,4.82290017870209,251.117,34.3352675600839,4.65780507826087,3.64971709565217,2.33294890434783,2.00791413043478,2.6571106173913,2.82003899130435,2.92446779130435,3.00794733043478,2.42934525217391,2.03983684347826,2.48769648695652,1.97986555652174,2.33115723478261,2.4082700173913,4.44870197391304
"2","Algeria","2012",8.75395869357911,0.575501505511116,0.737,3.75,3.64,3.55,3.08,2.5,3,3.29,3.28,3.3,2.54,3.07,2.99,2.6,2.99,2.85,3.53,2.83,3.02,3.1,2.92,2.08,2.01,3.19,3.31,3.44,2.79,2.82,2.96,3.08,2.89,2.78,2.88,3.13,2.65,3.09,2.99,3.77,3.75,3.14,3.2,2.83,2.75,3.51,3.58,3.22,3.45,3.11,3.36,3.2,2.77,3.21,3.39,2.5384332375,1.81515500416667,2.23885328333333,1.79496379166667,2.628686485,2.5209718625,2.23960149166667,2.4439711625,2.27762302916667,2.63475263333333,2.48220535416667,2.58150510833333,3.45241626666667,3.5651066375,3.30040262083333,3.02688835,2.63311725833333,2.76708420416667,3.13028294166667,3.10688389166667,5.3,3.49945093333333,3.42081824583333,2.02971605,2.73780429583333,3.3235437,145.965419113536,4.47241185833333,98.9875901999747,8.50283376745644,-3.618,50.095,4.5,9.925,90,5.21644837083333,0.1,5.34242161666667,30.5,72.8525365853659,2.41008048333333,94.9299,30.76359,2.51763332916667,2.6649906375,3.02703486666667,2.35606621666667,2.77615582083333,2.57098014166667,3.1450706625,2.76375443333333,2.88440915416667,72,14,25,3.23505518333333,3.03363452083333,14.0467526574281,3.269928775,3.1589535,2.51859317916667,32.3562156749327,3.04957290833333,2.38580564583333,2.92089227916667,4.02518006666667,3.31104064583333,17.3333333333333,2.384329725,2.27846769583333,0.208222811671087,2.16787495,1.97715300833333,1.77866401666667,2.94814449583333,2.30740697083333,3,3.37417099166667,3.16057867083333,3.3900924125,14,2.77930693701393,8.93348658325906,4.16414518346648,4.85620221124304,263.661,37.6738168541912,4.00402320833333,3.41913625833333,2.36731250416667,2.0423348375,2.24493823333333,2.46958205416667,2.261056225,2.2672233625,1.89591463333333,1.8709538125,2.09997148333333,1.75410110416667,1.85320135833333,2.16181987083333,4.0042681
"3","Algeria","2013",4.88586303564277,0.640768922707249,0.746,3.785714286,3.74,3.730769231,3.039215686,3.448979592,3.183673469,3.326923077,3.275862069,3.070175439,2.215686275,2.934782609,3,2.588235294,2.814814815,3.127272727,3.090909091,2.771929825,2.862068966,2.6,3.068965517,2.188679245,2.113207547,3.016666667,3.107142857,3.448275862,2.732142857,2.925925926,2.894736842,3.065217391,3,2.803921569,2.745098039,3.16,2.956521739,3.12244898,3,3.924528302,5,3.274509804,3.22,2.869565217,2.775,3.854545455,3.679245283,3.545454545,3.42,3.055555556,3.305084746,3.303571429,2.865384615,3.173076923,3.555555556,3.22416464591837,2.17527704285714,2.2722576622449,2.28390268469388,2.63141223122449,3.21411312653061,2.59828877959184,2.80353572142857,2.50408335714286,3.05348858469388,2.31444301020408,3.43681355714286,3.71279570306122,4.06213304693877,3.79930414897959,3.74650957857143,3.07675100714286,3.02804577142857,3.51945762040816,3.03631269285714,5.3,3.80713980510204,3.29270931122449,2.32746597244898,2.70431673469388,3.00974334795918,183.948704780544,4.18653039081633,103.305864403022,8.77601023608399,-2.663,42.408,8.89,9.9,90,4.32953585408163,0.1,4.33450576938776,25.6,73.0799024390244,2.46847242857143,101.61465,32.09236,2.66904324081633,2.70539822346939,2.99958653571429,2.17065726632653,3.06681707346939,3.04373428163265,3.56336892857143,3.06740432755102,3.11108336530612,72,14,25,3.23435544489796,3.43035521326531,14.4404781731378,3.21681248367347,3.26371335714286,2.6873375622449,29.7955017910328,3.13888604183673,2.79219329081633,3.35238410306122,4.41218188163265,2.65359214285714,17.3333333333333,2.81711125510204,2.29558045612245,0.208222811671087,2.08577242244898,2.65091303877551,2.04327440204082,3.32697517959184,2.00634774489796,3,3.24089627857143,3.1680502122449,3.62892956530612,15.2280267564417,3.04529199666238,8.09924760397768,4.13216238643376,5.00884873326265,272.866,38.8120205465668,3.95259809387755,3.28485518061224,3.18729795612245,2.67166140714286,2.64246526734694,2.9854001,2.51032853163265,2.42692422346939,2.63097872653061,2.30600079081633,2.51358909795918,1.96564132346939,2.10652431734694,2.74528926326531,4.10257020816326
"5","Argentina","2011",20.7778721886434,3.20589556007708,0.823,2.08,2,2.35,2.59,2.08,1.39,1.47,1.86,2.17,1.19,1.92,1.86,1.69,1.61,2.54,2.58,2.53,2,2.25,2.19,2.03,1.73,2.73,3,3.06,2.3,2.38,1.78,2.14,3.27,2.03,3.35,2.49,3.03,2.97,2.27,3,2.81,2.59,2.24,2.89,2.4,3.05,3.76,3.75,4.7,3.86,2.86,2.76,2.32,2.76,2.59,2.75318626315789,2.45454215789474,2.00076326315789,1.60713589473684,3.0963271368421,2.57964157894737,1.84833431578947,2.08260442105263,2.45760763157895,2.74957442105263,2.38159457894737,3.29336131578947,6.04507742105263,3.46857663157895,3.524318,2.90043868421053,3.18145,3.89180684210526,4.11663305263158,3.46553794736842,4.7,3.47364131578947,3.18377152631579,1.99107147368421,3.70884894736842,3.46350152631579,755.368433335296,3.75777742105263,141.78824823366,24.7448949796963,-1.7,22.894,10.461,47.846,28,6.00267952631579,0.5,5.235136,13,75.517512195122,3.12336668421053,84.93862,67.7335,3.36579663157895,3.20044536842105,5.12338484210526,3.25710431578947,4.45519157894737,3.86478726315789,4.25763,3.25411794736842,3.12880410526316,108.2,14,26,3.04186726315789,2.54556010526316,10.6879901668564,5.232856,3.20315884210526,2.70416131578947,18.926336182073,3.78783431578947,3.46624110526316,3.34858736842105,2.74850610526316,2.69337263157895,95,2.73052447368421,4.33140494736842,0.710361234008619,2.6218202631579,1.80607831578947,1.90956142105263,4.58519573684211,3.64082710526316,4,4.75895794736842,4.48582042105263,3.93627315789474,36,9.557354410441,11.7215663437626,4.79981747600371,5.12446236887068,642.402,21.9440089645636,4.48476494736842,4.274212,3.52956452631579,2.42184863157895,3.29608963157895,3.91519589473684,3.86008589473684,4.304627,3.63629768421053,2.94590831578947,4.22098721052632,3.031188,3.88207794736842,2.767018,3.97648742105263
"6","Argentina","2014",14.408621356911,2.4274359203358,0.825,1.94,1.83,2.53,2.44,2.02,1.65,1.7,1.96,2.56,1.17,1.45,1.68,1.59,2.11,3.57,3.17,2.81,2.24,2.53,2.02,1.74,1.72,2.62,3.4,3.27,2.43,2.52,2.13,2.22,3.25,2.3,3.42,2.28,2.83,3.17,2.38,3.27,3.23,2.62,2.33,2.91,2.16,2.17,3.47,3.61,3.76,3.4,3.19,3.17,2.57,3.11,3,2.62329827416675,2.42460947412506,1.70539784541018,1.5510592061213,2.82326890198396,2.29284509026549,1.73577343966631,1.45324913712012,2.26888642093321,2.60048232384977,1.91990273187309,2.95300186406199,6.0894087676209,3.23519739768983,4.08047067724636,2.68030594777661,3.00751153824576,3.88316449292035,4.14095972037048,3.47589514580648,5,3.00220358949705,3.03932263078662,1.72798378695277,3.68565390517702,3.58364759994476,802.401982468416,2.62632687598915,159.025454319795,23.3123260427494,-3.455,21.354,10.619,46.914,25,6.38053148412789,0.4,5.73474199303465,12.7,76.0126829268293,3.26983390318631,91.93817,78.62611,2.98335739272239,3.21829986867013,4.82072408898461,4.11979432807136,4.20721845853979,3.73068271327434,4.07315141639329,3.20694772006894,3.03199327954384,107.8,14,25,2.77051639115044,2.93333032017722,10.4613090369782,4.42891582123894,1.79399798124713,2.00768696461002,18.9992996753466,3.5701159046816,3.33755400878119,3.46280397345017,2.64053539421295,2.58331411031081,30.3333333333333,2.50053965152246,4.24477022515426,0.671970668011881,2.21863610497075,1.72885490472272,1.77979303199112,4.57479045244648,3.26437062905196,4,3.8291361285738,4.0284467745915,3.09315615134954,59.9,13.855414070553,44.3078485318865,4.89059586834058,5.20711071814435,777.945,19.810676426273,4.08032959791522,3.83729155367328,3.12013927242556,2.84092940743316,3.66354893451913,3.81059104963072,3.74082856446906,4.34167349073945,3.51353949858825,3.66899161035405,4.10311291220355,2.80366901010315,3.6353439960423,2.54038980957305,3.81395141206961
"8","Australia","2011",10.5002681448094,6.15999557835239,0.928,2.43,2.26,2.32,2.5,2.27,2.46,2,2.33,2.49,2.03,2.25,3,2.13,2.13,3.35,2.67,2.58,2.44,2.43,2.89,2.22,1.83,2.67,3,2.92,2.92,2.54,2.05,2,3,2.85,3.5,2.32,2.82,3.72,3.54,3.11,2.97,2.92,2.74,2.82,3.06,3.77,3.88,3.69,4.03,4.43,3.43,3.35,2.95,3.43,3.25,5.55271270769231,5.3204923,5.63183576923077,4.504062,5.84378381384616,6.11856934615385,4.24538611538462,3.9036213,3.18197172307692,5.1345581,4.81225026923077,5.0239801,5.68593517692308,5.91653754615385,6.36126984615385,5.94499133076923,6.13919157692308,5.92644115384615,5.75639972307692,5.25811507692308,5.7,5.17617093076923,5.10390583846154,4.32932879230769,5.07250417692308,5.85097147692308,3881.08764556128,6.03376393846154,101.040111397396,38.8892162089535,-4.644,24.904,2.845,22.306,6.4,6.16352907692308,0.1,5.48487101538462,4.3,81.5439024390244,5.57530295384615,149.2877,76.99642,5.12123146153846,5.08549197692308,5.37648606153846,5.91720053846154,5.38944775384615,4.87388827692308,5.86979922307692,4.58464651538462,4.8744564,47.9,2,2,4.57705083076923,5.58757448461539,3.84016716747989,5.77530852307692,4.93680016153846,5.09106436153846,20.3542706288511,5.28400861538462,4.18643064615385,4.75971926153846,4.26476368461539,3.48621171538462,4,4.27298440769231,5.96116725384615,0.845102925988014,4.66076293846154,3.67641686153846,3.53953871538462,6.52184259230769,5.70943078461539,9,6.12742056153846,5.83093946153846,5.06788854615385,76,23.1943189052246,27.8509562922615,5.03472579882563,5.29377203904715,882.362,21.054622593783,4.99437630769231,5.70334716153846,4.12949202307692,3.42736645384615,3.50360260769231,4.17847448461538,5.17262657692308,5.27209411538462,5.02847590769231,3.97596886923077,5.48073592307692,3.90422448461539,5.15284305384615,3.93102860769231,4.20898181538462
"9","Australia","2014",13.1419193795887,8.37084195232075,0.929,2.34,2.54,1.97,2.54,2.11,2.94,1.51,1.87,2.21,2.34,2.34,2.92,2.24,1.81,3.15,1.81,2.43,2.05,2.34,2.82,2.19,1.63,2.56,3.08,2.89,2.34,2.35,2,1.59,2.83,2.14,3.97,2.27,3.08,4,3.69,3.14,2.97,2.68,2.6,2.5,2.85,3.64,3.78,3.84,3.86,4.3,3.14,3.42,2.78,3.32,3.24,5.50770759360501,5.49407656341463,5.31525944778256,4.12487935624725,5.85778067936847,5.88792441851941,3.94224831363436,3.46350914375845,2.80430367495538,4.80500547833676,4.11973403685593,4.25790496729989,5.80290358780488,5.49014066847214,5.90756338321384,6.05441826765903,5.61810948790633,5.86646213414634,5.69326835378105,5.03955206370262,5.7,5.06215787560976,4.75001574010054,3.95906499594258,5.00001372539963,5.50149562155665,4467.15357517968,6.21325463210189,106.843497367233,44.3396230052471,-3.691,24.676,2.45,28.79,6.5,6.70494955492584,0.2,6.44768137432035,4.1,82.0951219512195,5.12339852805474,135.53543,86.33409,4.79896873446164,4.60607084468682,5.05255853224539,6.16359219522951,5.21279887141329,4.52320285921921,5.99437769753813,4.17296344305896,4.62747651617648,47,3,2.5,4.48543411499411,4.51720511761601,2.34394083162943,5.65462790759724,4.64189530276995,5.22356471472972,20.2151601937716,4.88683955208882,3.69717671989966,3.91543149787043,3.68353648877619,2.70706711283551,11.6666666666667,3.23513845609756,5.64691292467823,0.852121249112216,4.81099408321481,3.31954525365854,3.39706415318362,6.57605868422599,5.51301493307019,10,5.97994648855807,5.61093444061994,5.12486878114967,83,25.0144018094336,67.0991326544686,5.06583313840268,5.36341551827114,999.595,20.2552815028729,4.83564797761826,5.30345142908883,4.18329246858066,4.56593324708684,3.55948915434116,4.13843056538614,4.93865750946812,5.35180810971315,4.92200518081873,4.61469652149777,5.77824866556664,3.57049928256222,4.84351259174805,3.42175897065687,4.71732042087507
"10","Australia","2015",12.7872787158569,8.516881390452,0.933,3.67,3.6923,3.6154,4.7632,3.7714,3.0526,2.3659,4.3902,4.0256,4.1429,4.125,4.925,3.775,3.375,5.35,3.878,4.3,3.7436,4.7949,4.375,3.9737,2.7436,3.4878,4.1026,4.775,3.15,2.9024,3.175,3.7632,5,4.0769,5.825,3.6842,4.4,5.878,5.6585,4.775,4.65,4.925,4.5,4.325,5.1667,6.1795,5.775,6.1795,6.6154,7.3684,4.85,5.025,3.9,4.725,5.325,5.87548739204194,5.78990289325821,5.5430318235685,4.38679374023523,6.02371965003413,6.15015791195065,4.05047149125424,3.46350914375845,3.33364345987416,4.91169792313815,4.65370964551105,4.91584312769288,5.52922829302996,5.3364548113093,5.76778812461725,6.05441826765903,5.74150346137958,6.05130363602878,5.85943206542031,5.05735917437676,5.7,4.85680169526425,4.72154654710652,3.90155770099363,4.98650344390443,5.48169504677117,4533.78440808691,6.30312694197927,131.230546848819,38.8909618039549,-3.578,23.967,2.488,34.258,6.2,6.70494955492584,0.2,6.44768137432035,3.4,82.1975609756098,5.41851430232298,135.53543,86.33409,5.11263916878727,4.81989746892918,5.29192460608882,6.13030303550166,5.65327942704355,4.73213891183864,5.93274931188402,3.92638762037181,4.33705200110068,47.3,3,2.5,4.56192380542862,4.93070843233077,2.312685372441,5.53482325196932,4.7776636256852,5.16544415724344,20.7263583747003,5.34957012517492,3.77295410033711,4.33927385873635,4.07811376635589,2.93110498369739,11.6666666666667,4.05380251154553,5.77545019341581,0.853510911650778,4.97819353934773,3.31954525365854,3.13330847777468,6.56199198888001,5.7478831637505,11,5.9094688575361,5.61093444061994,4.77773265678789,84.56,25.755211484099,75.0687971504705,5.06948388709591,5.33112716406167,1095.384,20.398269422354,4.67166585176351,5.33880455986747,4.06212176450804,4.62427443499006,3.83853253625625,4.12676899286622,5.01814417918967,5.12175804969319,4.92200518081873,4.81398094965759,5.81556339956529,4.0665115793324,4.84351259174805,3.32523575281964,4.93696417142559
"11","Austria","2014",8.71322316084146,5.62134867992708,0.904,2.28,2.38,3.7,2.74,2.34,1.63,1.95,2.62,2.89,2.08,2.13,3.44,2.63,3.64,3.87,3.76,3.39,3.19,3.57,1.87,1.66,1.5,2.68,3.03,3.41,2.73,2.58,2.51,2.94,2.88,3.06,3.63,2.97,3.31,4.05,3.24,2.44,2.54,3.08,3.08,3.3,3.42,4.21,4.33,3.7,4.1,4.14,2.67,2.44,1.95,2.77,2.49,5.84438251211817,5.5092938162831,4.60246615659664,3.71362697971918,5.470629027371,5.17429165075809,3.95860462258916,3.42882953224303,3.38989369160776,4.87750546114349,4.08448165737484,4.77300881265618,6.49594926521499,6.08754535889022,6.47824225243037,5.94001031168985,5.51665849368636,5.65803233057601,5.16674930471811,4.78822184864448,5,6.20588527165061,6.26996952568584,5.28542296175627,4.35090182445589,5.41145063024848,455.309868912096,6.64779298487154,156.230411605688,39.4225172142441,-1.844,24.559,2.117,74.193,7.9,6.83518482759597,0.4,6.70274760214835,3.3,80.9365853658537,4.9529052718391,97.69036,72.43606,4.49207499370351,4.61190169895621,4.62865518676892,5.5764672467514,5.93242331792199,4.81584237479715,5.81764482733316,5.46896373942036,4.82689057828827,52.4,8,25,4.21007333462031,4.52090243498383,0.842101788669761,4.92863561550221,4.58883910057606,5.22547662138941,54.5904649882273,5.77782660478264,4.04405099685175,5.43152852023477,2.50409689401761,3.46616064086586,2,3.90665644002071,5.25284315895493,0.866257649989216,3.76997712941176,2.85814117544574,2.69460051658886,5.04172011386916,4.44871122130253,7,6.03120216867191,5.68090836471432,4.63385115089147,80.6188,26.0148590753895,128.491839525921,4.35528086420019,5.37970116910902,361.402,57.6394714174969,5.25783404266896,6.02402040483856,4.94943674495437,5.96139367933691,5.49560170483012,4.95793269619625,5.8973693215464,5.52635088658797,4.66346768424189,4.96464697975338,5.00523250294118,4.8023436729082,4.67817206392113,3.66207636460235,4.26739082710024
"16","Belgium","2012",5.19884655934522,7.25751301935033,0.905,3.21,3.08,3.52,3.1,3.11,2.11,2.32,2.87,3.17,2.2,1.86,2.29,2.45,2.65,3.56,3.34,2.8,2.74,2.76,2.19,1.94,1.96,2.53,3.49,2.98,2.7,2.29,2.23,3.07,3.2,2.83,3.85,2.7,3.39,3.69,3.51,2.59,2.71,3,2.5,3.2,3.34,3.85,3.71,3.56,3.9,3.96,2.25,2.34,1.83,2.7,2.63,5.25998726357616,5.22087488476821,5.17532144503311,3.51401466490066,5.55539019735099,5.2343682807947,4.10329748476821,3.59874485430464,2.58157268874172,4.17945425827815,4.15786086887417,4.36361798278146,6.22809169668874,5.78889781854305,6.13091901589404,5.74983934437086,5.41586130596026,5.55678305298013,5.15965321192053,4.93258984635762,7,5.86514959337748,5.46863082781457,5.19105882251656,6.33045734569536,6.15526666357616,567.917870845248,6.56574354437086,116.612773822268,43.0634915793632,-4.186,21.124,3.469,98.506,8.7,6.53115755364238,0.2,6.01561808211921,3.5,79.9365853658537,6.40623380927152,110.53265,67.46295,5.40604959602649,6.18227697350993,6.01685418807947,5.65932827019868,5.89661717615894,4.83005585562914,5.96194510331126,5.15525728609271,4.69077326754967,57.3,3,4,4.20320001456954,5.39050631523179,0.903368416105287,5.71931055761589,5.22256026622517,4.89512988476821,105.727344536966,5.55760764503311,4.5305188384106,4.44802752715232,3.59520197748344,2.91733138278146,6.33333333333333,3.63657449536424,5.42620063178808,0.841032608695652,4.06768075629139,3.78129194701987,3.52874023576159,4.41023427549669,4.99738039735099,7,6.46650920794702,5.55252368874172,5.23466654304636,78,32.9527668444353,131.13716445743,4.48269595759948,5.79087250975696,413.281,109.548979314019,5.72651918013245,5.82812866622517,4.63545018278146,5.83509107417219,5.2055137986755,4.38286925562914,5.90580728741722,5.36925137880795,4.95806057748344,4.97754066622517,5.9431512794702,4.65118088476821,5.52359665827815,4.09523533774834,4.9514039986755
